latitude,longitude,month,dataValue,wellDepth
28.6,77.0,2022-01,7.11,80.0
28.6,77.0,2022-05,8.79,80.0
28.6,77.0,2022-08,7.72,80.0
28.6,77.0,2022-11,7.67,80.0
28.6,77.0,2022-11,-7.83,58.55
28.6,77.0,2022-12,-7.87,58.33
28.6,77.0,2023-01,-7.84,36.42
28.6,77.0,2023-02,-7.88,37.24
28.6,77.0,2023-03,-8.05,38.35
28.6,77.0,2023-04,-8.0,39.26
28.6,77.0,2023-05,-8.24,40.28
28.6,77.0,2023-06,-8.38,41.19
28.6,77.0,2023-07,-7.94,42.2
28.6,77.0,2023-08,-7.64,43.17
28.6,77.0,2023-09,-7.61,44.08
28.6,77.0,2023-10,-7.77,45.1
28.6,77.0,2023-11,-7.86,46.01
28.6,77.0,2023-12,-7.8,47.02
28.6,76.9,2020-01,14.16,100.0
28.6,77.1,2020-01,30.33,80.0
28.6,77.1,2020-08,31.46,80.0
28.6,77.1,2020-11,33.18,80.0
28.6,77.1,2021-01,31.85,80.0
28.6,77.1,2021-11,31.94,80.0
28.6,77.1,2022-01,31.46,80.0
28.6,77.1,2022-08,30.86,80.0
28.6,77.1,2023-09,29.3,48.0
28.6,77.1,2023-10,29.51,48.0
28.6,77.1,2023-11,28.91,48.0
28.6,77.1,2023-12,28.51,48.0
28.6,77.2,2020-01,3.88,75.2
28.6,77.2,2020-05,3.9,75.2
28.6,77.2,2020-08,3.39,75.2
28.6,77.2,2020-11,5.35,75.2
28.6,77.2,2021-01,4.15,75.2
28.6,77.2,2021-05,4.69,75.2
28.6,77.2,2021-08,3.2,75.2
28.6,77.2,2021-11,2.77,75.2
28.6,77.2,2022-01,3.0,75.2
28.6,77.2,2022-05,3.75,75.2
28.6,77.2,2022-08,3.6,75.2
28.6,77.2,2022-11,3.08,75.2
28.6,77.2,2023-05,-750.71,35.3
28.6,77.2,2023-06,-691.1,35.82
28.6,77.2,2023-07,-784.9,36.25
28.6,77.2,2023-08,-891.92,36.55
28.6,77.2,2023-09,-522.97,39.86
28.6,77.2,2023-10,-663.63,39.78
28.6,77.2,2023-11,-2.99,44.9
28.6,77.2,2023-12,-3.25,45.92
28.6,77.2,2020-01,7.7,88.0
28.6,77.2,2020-05,7.51,88.0
28.6,77.2,2020-08,7.24,88.0
28.6,77.2,2020-11,8.39,88.0
28.6,77.2,2021-01,7.22,88.0
28.6,77.2,2021-05,7.93,88.0
28.6,77.2,2021-08,7.12,88.0
28.6,77.2,2021-11,6.22,88.0
28.6,77.2,2022-01,6.2,88.0
28.6,77.2,2022-05,6.33,88.0
28.6,77.2,2022-08,6.23,88.0
28.6,77.2,2022-11,6.27,88.0
28.6,77.2,2023-05,-6.49,39.82
28.6,77.2,2023-06,-6.6,39.96
28.6,77.2,2023-07,-6.49,40.97
28.6,77.2,2023-08,-6.29,41.94
28.6,77.2,2023-09,-6.35,43.01
28.6,77.2,2023-10,-6.34,43.78
28.6,77.2,2023-11,-6.38,44.78
28.6,77.2,2023-12,-6.35,45.79
28.6,77.1,2023-05,-14.57,41.64
28.6,77.1,2023-06,-15.55,41.78
28.6,77.1,2023-07,-15.16,42.79
28.6,77.1,2023-08,-14.36,43.76
28.6,77.1,2023-09,-14.25,44.81
28.6,77.1,2023-10,-14.1,45.58
